,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,country_code,admin_division_population,gazeteer_distance,longitude,latitude,fatality_count_predictions
1168,1.0,landslide,rain,2,unknown,US,18244.0,1.3528,-122.2146,47.8501,0.0
1173,10.0,landslide,rain,2,unknown,US,6009.0,1.3769,-122.7701,45.53,0.0
1179,5.0,mudslide,rain,2,unknown,US,176320.0,6.85033,-118.47,34.3778,0.0
1180,1.0,landslide,downpour,2,unknown,LA,13500.0,14.15117,101.8343,19.3074,0.0
1182,25.0,landslide,downpour,2,unknown,CN,0.0,0.76531,85.9757,27.982,0.0
1198,5.0,mudslide,rain,2,unknown,US,3108.0,3.42553,-122.0471,38.7122,0.0
1204,5.0,landslide,downpour,2,unknown,IE,1965.0,10.53524,-10.2545,52.2351,0.0
1231,5.0,landslide,mining,2,unknown,CR,7301.0,12.21952,-84.8946,10.5543,0.0
1235,25.0,landslide,rain,2,unknown,IN,5104047.0,1.7211,77.6092,12.9752,0.0
1244,5.0,landslide,rain,2,unknown,PH,61524.0,1.55151,125.137,8.1469,0.0
1249,5.0,landslide,downpour,2,unknown,IN,33408.0,7.22205,76.8403,9.7327,0.0
1255,5.0,landslide,unknown,1,unknown,FR,10614.0,5.87091,6.8935,45.8737,0.0
1278,5.0,rock_fall,rain,1,unknown,US,1813.0,0.08548,-72.0358,43.3207,0.0
1280,5.0,mudslide,rain,2,unknown,US,51320.0,12.91337,-91.2806,43.689,0.0
1286,25.0,landslide,rain,3,unknown,IN,47571.0,0.70042,80.2167,29.5833,0.0
1289,5.0,mudslide,rain,1,unknown,US,3148.0,8.33509,-117.105,33.023,0.0
1307,5.0,mudslide,downpour,1,unknown,US,1698.0,8.27691,-79.7199,36.6619,0.0
1316,50.0,landslide,downpour,2,unknown,IN,18950.0,24.89116,75.605,12.6445,0.0
1324,5.0,landslide,downpour,2,unknown,US,583776.0,3.4776,-122.7193,45.5313,0.0
1326,25.0,landslide,tropical_cyclone,2,unknown,TT,17000.0,9.11607,-60.6742,11.2415,0.0
1328,10.0,mudslide,downpour,1,unknown,US,2995.0,3.26096,-111.96,46.67,0.0
1330,5.0,landslide,rain,3,unknown,ID,207212.0,7.62936,106.7161,-6.622,0.0
1333,10.0,landslide,rain,2,unknown,DE,14771.0,0.14675,13.4343,54.417,0.0
1335,10.0,landslide,rain,2,unknown,US,1424.0,6.61994,-83.4985,35.3884,0.0
1340,10.0,landslide,rain,2,unknown,PH,35768.0,4.95886,123.5841,13.3201,0.0
1342,5.0,landslide,rain,1,unknown,US,17288.0,3.33522,-81.4305,40.5175,0.0
1348,5.0,mudslide,rain,2,unknown,US,2355.0,13.77073,-83.9789,36.5539,0.0
1362,12.674393057233878,landslide,rain,2,unknown,YE,0.0,8.84661,43.9605,15.4508,0.0
1366,5.0,mudslide,rain,2,unknown,US,1150.0,1.07913,-83.0992,35.5278,0.0
1378,50.0,landslide,rain,2,unknown,IN,11090.0,19.36242,91.88,25.38,0.0
1390,5.0,landslide,rain,2,unknown,AU,8561.0,0.06554,151.1112,-29.7736,0.0
1397,5.0,landslide,rain,3,unknown,TT,17000.0,6.35974,-60.6764,11.1954,0.0
1401,25.0,landslide,rain,2,unknown,IN,7317.0,0.16739,75.24528226,33.23738085,0.0
1403,5.0,mudslide,downpour,1,unknown,US,78405.0,2.99673,-118.3218,33.7248,0.0
1404,5.0,landslide,unknown,2,unknown,NO,44096.0,0.48355,6.1628,62.4746,0.0
1406,5.0,mudslide,downpour,2,unknown,BB,1765.0,2.87363,-59.54,13.229,0.0
1418,25.0,landslide,downpour,2,unknown,IN,22654.0,2.05477,92.967,22.479,0.0
1432,5.0,mudslide,flooding,1,unknown,US,1887.0,6.28666,-91.34,43.89,0.0
1446,12.674393057233878,mudslide,tropical_cyclone,2,unknown,MM,54386.0,43.48816,96.1703,17.7963,0.0
1455,25.0,landslide,downpour,2,unknown,PH,16518.0,0.74994,124.946,6.3344,0.0
1459,25.0,complex,rain,1,unknown,AU,2680.0,16.12044,152.8915,-26.8494,0.0
1461,5.0,complex,downpour,2,unknown,TT,8140.0,2.24772,-61.546,10.716,0.0
1468,5.0,mudslide,rain,1,unknown,US,5091.0,1.02992,-80.613,40.4634,0.0
1475,10.0,landslide,unknown,2,unknown,NP,107157.0,10.73485,84.4384,27.7801,0.0
1490,50.0,landslide,downpour,2,unknown,VN,0.0,8.1788,108.69,15.3239,0.0
1491,25.0,landslide,rain,2,unknown,PH,798634.0,1.30088,123.9013,10.3114,0.0
1507,25.0,landslide,downpour,2,unknown,RS,0.0,1.58195,21.577,42.8296,0.0
1509,10.0,landslide,downpour,2,unknown,CR,5745.0,21.9547,-84.0074,10.1981,0.0
1521,5.0,landslide,downpour,2,unknown,IN,28197.0,0.60039,74.0934,33.775,0.0
1523,5.0,landslide,unknown,2,unknown,MY,1453975.0,1.48021,101.6784,3.1518,0.0
1533,10.0,landslide,unknown,2,unknown,US,2200.0,0.62955,-90.857,43.6516,0.0
1535,50.0,landslide,rain,2,unknown,IN,7317.0,0.79654,75.231,33.242,0.0
1537,50.0,landslide,downpour,2,above_road,BT,2169.0,16.65656,89.5187916,27.21898773,0.0
1543,10.0,landslide,rain,2,unknown,BN,64409.0,5.87279,114.917,4.9833,0.0
1544,5.0,rock_fall,freeze_thaw,2,unknown,US,1035.0,1.36906,-119.5676,37.75,0.0
1572,5.0,mudslide,downpour,2,unknown,US,2450.0,12.14412,-105.2801,40.6124,0.0
1574,50.0,landslide,downpour,2,unknown,IN,6807.0,4.50029,74.9845,33.9513,0.0
